,predicted-traffic,xi1,xi2,utraffic1,utraffic2,population,Nv1,Nv2
0,55.21638532585303,0.8779746831010198,0.7929186428846696,1.0124054799953657,0.5774548614145036,41.0,35.99696200714181,32.50966435827146
1,58.23589901171144,0.891578592315423,0.7795041954684628,0.9863066222375756,0.6093018687335044,43.0,38.33787946956319,33.518680405143904
2,61.46159939453739,0.8857083566146595,0.7870458106000968,0.9935117728214522,0.6173104967360888,45.0,39.856876047659675,35.41706147700436
3,63.24848673993888,0.8862086334427312,0.7980592872556839,0.9914897018776985,0.6218840845461746,46.0,40.765597138365635,36.71072721376146
4,60.613125299624706,0.8749315501233512,0.8066026206136739,0.9938202219158797,0.6298595482439705,44.0,38.496988205427456,35.49051530700165
5,59.850273221444525,0.834704882268464,0.7651708665295082,1.0679379477765203,0.6540418905445037,43.0,35.89230993754395,32.90234726076885
6,59.09702873734224,0.8958649608994911,0.8149983884254309,0.9690175071751983,0.6613059476825515,42.0,37.626328357778625,34.2299323138681
7,57.289289135343026,0.8914892063866835,0.807567201337653,0.9688971038244445,0.703930171115359,40.0,35.65956825546734,32.302688053506124
8,54.01923002514758,0.8944110501721918,0.8065301611343623,0.9663564550510848,0.690908809021657,38.0,33.98761990654329,30.648146123105768
9,51.02227327726241,0.8904384616393916,0.8143253626950396,0.9708762508765374,0.678819350180468,36.0,32.0557846190181,29.315713057021426
10,48.072396300045625,0.8267906329120611,0.8279649613353669,1.0442281616377527,0.6649266235516476,34.0,28.11088151901008,28.150808685402474
11,48.0087736665793,0.8961017954920483,0.8010908817396305,0.9617360163443965,0.6868251735296069,34.0,30.467461046729643,27.237089979147438
12,44.26736669164768,0.8385766614560906,0.718258921278606,1.013543281437029,0.742659021868753,32.0,26.834453166594898,22.984285480915393
13,42.74946930306821,0.8855214439674106,0.8105920888181286,0.9681443693980247,0.7003148907753332,30.0,26.565643319022318,24.317762664543856
14,39.658093872126805,0.8961536349324779,0.8161641140672984,0.9533227637493543,0.6886321338417689,28.0,25.09230177810938,22.852595193884355
15,38.2035454850142,0.8844134854108328,0.805567118225366,0.9645623202105497,0.6974890022807977,27.0,23.879164106092485,21.75031219208488
16,38.77349528566387,0.8227829843390063,0.8509088955130026,1.0747546766318694,0.6484425343166592,27.0,22.21514057715317,22.974540178851072
17,36.37151608462046,0.8852085133468031,0.7983924198497429,0.9632950991232845,0.6841090027967736,26.0,23.01542134701688,20.758202916093314
18,34.64885363960148,0.8819442140302095,0.7955527746287541,0.9665246213943179,0.670644820862545,25.0,22.04860535075524,19.888819365718852
19,33.46827245605341,0.8712612455482124,0.7984891185576812,0.9706894460257665,0.6872820728501909,24.0,20.910269893157096,19.16373884538435
20,32.358745311915385,0.8943325320318031,0.8076900087206982,0.9413451424354624,0.6995584682644257,23.0,20.56964823673147,18.576870200576057
21,35.517826709374674,0.879794048704445,0.8069893600498879,0.9526248044209645,0.7219419036220879,25.0,21.994851217611124,20.174734001247195
22,39.86370899318728,0.8807862204707757,0.8162361706189831,0.9485180694230061,0.7207010279297025,28.0,24.66201417318172,22.85461277733153
23,46.81852854000904,0.8814619172864115,0.8187446570389678,0.9523719488227642,0.7075022476568092,33.0,29.08824327045158,27.01857368228594
24,52.53462635473683,0.8907657474693172,0.8219866214218732,0.9419161720353896,0.7066150326181464,37.0,32.95833265636474,30.413504992609308
25,58.122512583369755,0.883567480070458,0.8086903993211534,0.9595871964002014,0.704549253432524,41.0,36.22626668288878,33.156306372167286
26,58.28512304800935,0.8892717363875574,0.808941858780287,0.9583048713126966,0.7038762105625846,41.0,36.46014119188985,33.166616209991766
27,58.870609542762,0.8816123104498973,0.8094895833936985,0.9727888197504726,0.7143339930934534,41.0,36.14610472844579,33.18907291914164
28,57.41002524850331,0.8874714405671442,0.82294964192142,0.9566944491595174,0.7123298928300283,40.0,35.49885762268577,32.9179856768568
29,66.71391682421743,0.8814071396852745,0.8242816724831681,0.9725065375774719,0.7195699647897039,46.0,40.54472842552263,37.91695693422573
30,63.77702533491525,0.8944324284194183,0.8173825949470349,0.957566858002009,0.7254852281048844,44.0,39.35502685045441,35.96483417766954
31,60.670288100681944,0.8886741180287759,0.8160256780978032,0.966901524889587,0.7172204563172789,42.0,37.32431295720859,34.273078480107735
32,62.04771094968948,0.8856591603271221,0.815093638591721,0.9705477998666993,0.7157404314999777,43.0,38.08334389406625,35.049026459444
33,64.77575997118672,0.8984449928573471,0.8117152060896846,0.9580930166301344,0.7128946887637428,45.0,40.43002467858062,36.52718427403581
34,65.90434900301968,0.8858901296953864,0.8164026274698776,0.9780615063025448,0.6935893950788959,46.0,40.750945965987775,37.55452086361437
35,62.505827604038075,0.8664971468781001,0.8028284870577671,1.0026266436198192,0.6873371757679306,44.0,38.1258744626364,35.32445343054175
36,61.27612600260032,0.904575316959957,0.816120657046882,0.9513861115575377,0.6915960131874226,43.0,38.89673862927815,35.093188253015924
37,60.153735462111825,0.8756459281432075,0.8073035989813904,0.9908971742456997,0.6993115373106426,42.0,36.777128982014716,33.906751157218395
38,57.173135070911556,0.895592039522758,0.8080463928459695,0.9632090078885496,0.7013038631548134,40.0,35.82368158091032,32.32185571383878
39,51.92725776641659,0.8780915163462487,0.8113010230832661,0.9845129691291208,0.7123513030014428,36.0,31.611294588464954,29.20683683099758
40,49.07599419335409,0.8849370783699052,0.8116472151550884,0.9727569430706937,0.717778482916177,34.0,30.087860664576777,27.596005315273008
41,44.72613920614654,0.8813490043341284,0.8076623013180588,0.9734187795801392,0.7241355835622038,31.0,27.32181913435798,25.037531340859825
